master_code,name,aspect_name,pack_name,card_url,photo_url
42014,Aerial Intervention,protection,Angel,https://marvelcdb.com/card/42014,https://hallofheroeshome.files.wordpress.com/2023/10/42014-copy.jpg?strip=info&w=710
42018,Angel's Aerie,protection,Angel,https://marvelcdb.com/card/42018,https://hallofheroeshome.files.wordpress.com/2023/10/42018.jpg?strip=info&w=710
